3M SKU:;3M SKU Description:;Division:;contar
XH002415715;PROMO 7302 EXPRESS VPS IMPR MATL REG SET +10 PTAS;OCSD;0
70201057638;5707 Pistola dispensadora Vitremer;OCSD;0
70201108530;76940 ELIPAR FREELIGHT BATTERY;OCSD;0
XH002402101;SINGLE BOND 2 FC 5.78 ML CENABAST;OCSD;0
XH002416044;RelyX ARC A1 + addesivo Singlebond2 de 3ml;OCSD;0
XH002416051;RelyX ARC A3 + addesivo Singlebond2 de 3ml;OCSD;0
XH002416010;RELYX U100 TR + 5 FIBER POST;OCSD;0
XH002416028;RELYX U100 A2 + 5 FIBER POST;OCSD;0
XH002416036;RELYX U100 A3O + 5 FIBER POST;OCSD;0
XH002415632;Composite Z100 A3,5 CENABAST;OCSD;0
70201078188;7032A2 FILTEK Z350 XT FLOWABLE REST SYG A2;OCSD;0
70201078196;7032A3 FILTEK Z350 XT FLOWABLE REST SYG A3;OCSD;0
78806096430;PC BOARD ASSEMBLY-CONTROL;OCSD;0
78806096414;CUP FAN;OCSD;0
78806096653;HOUSING - FILTER;OCSD;0
78806096711;SCREW 2.5 X 8MM;OCSD;0
XH002416283;PROMO ADPER SINGLE BOND2 3MSTORE Q1 2011;OCSD;0
12271603230;PC BOARD ASSEMBLY-LAMP;OCSD;0
XH002416150;CENABAST Z100 A3 SYEINGE COD 500002493;OCSD;0
XH002416325;Flow A2 2 pack con 1982C;OCSD;0
XH002416333;flow a3 + 1982c;OCSD;0
41530079288;Filtek Z350 A3;OCSD;0
41530079304;Z350 B2;OCSD;0
41530079296;Z350 A3.5;OCSD;0
XH002416705;CONV.KETAC MOLAR EASY MIX KIT;OCSD;0
XH002416663;CONV. RELYX ARC TONO A1;OCSD;0
XH002416671;CONV. RELYX ARC TONO A3;OCSD;0
70201138800;RelyX Fiber Post Postes tamano 1;OCSD;12
70201138818;RelyX Fiber Post Postes tama¦o 2;OCSD;8
70201138826;RelyX Fiber Post postes tama¦o 3;OCSD;5
XH002416960;Express c/ pistola Pesado + 7302verde regular;OCSD;0
XH002416978;Express c/pistola pesado + liv 7301 rapido azul;OCSD;0
70201137240;RelyX U200 Traslúcido Clicker 11 grs.;OCSD;0
70201137257;RelyX U200 A2 Clicker 11 grs.;OCSD;0
70201137265;RelyX U200 A3O Clicker 11 grs.;OCSD;0
XH002417026;Lámpara Led Elipar 3M ESPE                         KIT Z350 XT;OCSD;0
XV001005075;Pistola dispensador express alternativo;OCSD;0
70201139303;41269 SINGLE BOND UNIVERSAL RF VIAL 3ML EM;OCSD;266
70201140426;41282 SINGLE BOND UNIVERSAL RF VIAL 5ML EM;OCSD;257
70201051862;8004 A2 Z100 jeringa 4 g.;OCSD;0
70201051870;8004 A3 Z100 jer. 4 g;OCSD;0
XH002417224;Conversion Vitremer A3;OCSD;0
XH002417232;Conversion Vitremer Ped.;OCSD;0
XH002417356;Adper S. Bond 2 fc. 3g;OCSD;41
XH002417174;KIT VITREBOND + 2 JERINGAS Z250.Tonos A2 y A3;OCSD;0
XH002417281;Conv. Filtek Z350 XT FLOW A3;OCSD;0
XH002417299;conv.Filtek Z350 XT FLOW A2;OCSD;0
XH002417760;Kit Filtek Z350 XT 5 jer+ S.B UNIVERSAL 3ml;OCSD;0
78990252252;TRANSFORMADOR LAMP FOTOCURADO ELIPAR;OCSD;0
70201052159;1370A3 Z250 jeringa 4 g;OCSD;0
70201051961;51202 Adper Single Bond 2 6 g;OCSD;26
70201030916;4850SF 3M SOF-LEX 3/8 IN SUPERFINE DISCS, 30/BAG;OCSD;33
70201030924;4851C SOF-LEX 1/2 IN COAR30/BAG;OCSD;161
70201088658;5080 Sof-Lex Spiral Grano Fino (Terminado);OCSD;0
70201088641;5081 Sof-Lex Spiral Grano Super Fino (Pulido);OCSD;0
70201140079;41263 Ácido ortofosfórico en jeringas SCOTCHBOND;OCSD;0
XH002417869;CONV. RELYX U200 CLICKER 11 GR - A2;OCSD;0
XH002417877;CONV. RELYX U200 AUTOMIX A2;OCSD;0
70201088617;5082S SPIRAL WHEELS-SAMPLE KIT-APAC/LA-W/O MANDREL;OCSD;0
70201094938;12646 CLINPRO SEALANT INTRO KIT;OCSD;0
70201055442;12177 WHITE&BRITE Kit 2 jeringas de 3,5 grs c/u;OCSD;0
70201055418;12174 WHITE&BRITE Kit 4 Jeringas de 3,5 grs. c/u  más accesorios;OCSD;0
70201055384;12171 WHITE&BRITE Kit 6 jeringas de 3,5 grs c/u   más accesorios;OCSD;0
XH002418131;PACK VITREBOND PLUS LIGHT + Z350XT A3B;OCSD;0
XH002418149;PACK RELYX ULT CLICKER A1+SBOND UNIVERSAL 3ml;OCSD;0
XH002418156;PACK RELYX ULT CLICKER A3 + SBOND UNIVERSAL 3 ml;OCSD;0
XH002418107;PACK SOFLEX X 170 UDS + SPIRAL;OCSD;0
70201088955;3525TKA RELYX LUTING 2 Clicker 11 grs.;OCSD;0
XH002418099;"PACK SOFLEX 90 u.: 2 bolsas de 30 discos c/u de 1/2"" grano Grueso+1 bolsa de 30 discos de 3/8"" grano super fino";OCSD;0
41530000003;ACCUDOSE NEEDLE TUBE;OCSD;0
41530000011;ACCUDOSE GREEN PLUG;OCSD;0
70201135103;ELIPAR S10 Battery;OCSD;0
70201402214;1956 Huinchas Sof-Lex;OCSD;9
70201051813;Z100 CG jeringa;OCSD;0
70201051821;Z100 CY jeringa;OCSD;0
70201400093;4863B1 Filtek Bulk Fill tono B1 Jeringa 4 grs.;OCSD;0
70201051995;8100 Filtek P60 C2 jeringa;OCSD;7
70201144246;RelyX Fiber Post fresa tamano 1;OCSD;0
70201144253;RelyX Fiber Post fresa tamano 2;OCSD;0
70201144261;RelyX Fiber Post fresa tamano 3;OCSD;0
70201144592;Puntas de mezcla Express amarillas;OCSD;0
XH002418537;Kit de Restauración Tono A2;OCSD;0
XH002418545;Kit de Restauración Tono A3;OCSD;0
70201144634;41462 Puntas introrales Garant amarillas;OCSD;0
70201402370;5090 Sof-Lex Pre-Polishing Spiral - 15 wheels;OCSD;6
70201402388;5091 Sof-Lex Diamond Polishing Spiral - 15 wheels;OCSD;3
70201402396;5092-I Sof-Lex Diamond Polishing System 5 Pre     polishing + 5 Diamod polishing wheels;OCSD;0
70201402404;5092-S Sof-Lex Diamond Polishing System 3 Pre     polishing + 3 Diamod polishing wheels;OCSD;0
70201144386;7307 Adhesivo VPS;OCSD;11
70201405951;4863A2 Filtek Bulk Fill tono A2 Jeringa 4 grs.;OCSD;0
70201405969;4863A3 Filtek Bulk Fill tono A3 Jeringa 4 grs.;OCSD;0
70201405977;4863B1 Filtek Bulk Fill tono B1 Jeringa 4 grs.;OCSD;0
70201412866;7032A2 FILTEK Z350 XT FLOWABLE REST SYG A2;OCSD;0
70201412874;7032A3 FILTEK Z350 XT FLOWABLE REST SYG A3;OCSD;0
70201144139;41263 Ácido ortofosfórico en jeringas SCOTCHBOND;OCSD;204
70201411975;12646 CLINPRO SEALANT INTRO KIT;OCSD;204
70201026070;8100 Filtek P60 C2 jeringa;OCSD;0
70201026898;Relyx ARC A1 repuesto;OCSD;0
70201026906;Relyx ARC A3 repuesto;OCSD;0
78806094781;BRUSH HOLDER UNITEK 58748;OCSD;0
70201035121;Lampara Elipar 2500;OCSD;0
70201117655;Elipar Freelight 2;OCSD;0
70201115915;31730 Impregum Penta Soft refill pack;OCSD;0
70201120477;31734 Kit Introductorio Impregum Penta Soft;OCSD;0
70201119198;Puntas de mezcla Express amarillas;OCSD;0
70201119180;71512 Penta Puntas de mezcla rojas;OCSD;0
70201120089;56900 Ketac Cem Easymix;OCSD;21
XH002405401;Kit Z100 4jeringas+ S.Bond2;OCSD;0
XH002405419;Kit Vitrebond;OCSD;16
XH002405526;Kit Sellante Concise Fotocurado;OCSD;250
XH002405617;1370 Kit Filtek Z250 + S.Bond 2;OCSD;0
XH002405625;8100 Kit Filtek P60 + S.Bond 2;OCSD;0
70201038539;3910 A1B Filtek Supreme XT jeringa;OCSD;0
70201038430;3910 A1E Filtek Supreme XT jeringa;OCSD;0
70201038315;3910 A2B Filtek Supreme XT jeringa;OCSD;0
70201038224;3910 A2D Filtek Supreme XT jeringa;OCSD;0
70201038323;3910 A3B Filtek Supreme XT jeringa;OCSD;0
70201038232;3910 A3D Filtek Supreme XT jeringa;OCSD;0
70201038240;3910 A4D Filtek Supreme XT jeringa;OCSD;0
70201038356;3910 B1B Filtek Supreme XT jeringa;OCSD;0
70201038364;3910 B2B Filtek Supreme XT jeringa;OCSD;0
70201038265;3910 B3D Filtek Supreme XT jeringa;OCSD;0
70201038380;3910 C1B filtek Supreme XT jeringa;OCSD;0
70201038398;3910 C2B Filtek Supreme XT jeringa;OCSD;0
70201038406;3910 C3B Filtek Supreme XT jeringa;OCSD;0
70201038273;3910 C4D Filtek supreme XT jeringa;OCSD;0
70201038281;3910 C6D Filtek Supreme XT jeringa;OCSD;0
70201038414;3910 D2B Filtek Supreme XT jeringa;OCSD;0
70201038489;3910 D2E Filtek Supreme XT jeringa;OCSD;0
70201038505;3910 GT Filtek Supreme XT jeringa;OCSD;0
70201038521;3910 VT Filtek Supreme XT jeringa;OCSD;0
70201038422;3910 WB Filtek Supreme XT jeringa;OCSD;0
70201038547;3910 XWB Filtek Supreme XT jeringa;OCSD;0
70201038299;3910 WD Filtek Supreme XT jeringa;OCSD;0
70201038497;3910 WE filtek Supreme XT jeringa;OCSD;0
XH002407175;Promo Kit Filtek Z250 +organizador acrilico de regalo;OCSD;0
XH002407191;Kit express pesado + parche adh. impermeable de regalo;OCSD;0
XH002407209;3415 A3 Promo RelyX ARC A3+compresa frio calor de regalo;OCSD;0
XH002407241;5560 Elipar 2500 + Botiquin Nexcare de regalo;OCSD;0
XH002407183;Promo Filtek P60 + organizador de regalo;OCSD;0
XH002407373;6018 Filtek Z350 + organizador acrílico;OCSD;0
70201038349;3910 A4B Filtek Supreme XT jeringa;OCSD;0
70201038331;3910 A3,5B Filtek Supreme XT jeringa;OCSD;0
70201038257;3910 A6D Filtek Supreme XT jeringa;OCSD;0
XV000200032;*CAJA C 250 X 250 X 300;OCSD;0
XH002407720;Lampara fotocurado Elipar 2500 CENABAST;OCSD;0
XH002407746;KIT PROMOCION 5686L + 56815 RELYX UNIC APPL;OCSD;0
XH002407753;PROMO KIT 5686L + 2 KIT 56815 RELYX UNIC. APPLIC;OCSD;0
XH002407761;PROMO KIT 5686L + 56819 RELYX UNIC.APPLIC. A1 20;OCSD;0
XH002407779;Pack RelyX ARC+Temp. Tono A3;OCSD;0
XH002407787;Pack Kit Z350+Adhesivo SingleBond2 3 ml.;OCSD;0
70201037879;ADPER Single Bond 2 fco. 6 g;OCSD;0
XH002407860;Kit Z350 + 1 jer. flow A3;OCSD;0
XH002407878;Kit Z250 + Soflex 1982C, 30 unids.;OCSD;0
XH002407886;Cavit G + jeringa Z250 A3;OCSD;0
XH002407894;Elipar 2500 + ampolleta repuesto;OCSD;0
XH002407902;Kit Vitrebond + S. Bond 2, 3 gr;OCSD;0
70201130831;ExpressXT material pesado;OCSD;0
70201130864;ExpressXT material liviano;OCSD;0
XH002407795;3910 Kit A1 F. Supreme XT (6 jeringas);OCSD;0
XH002407829;3910 Kit B1 F. Supreme XT ( 6 jeringas);OCSD;0
XH002407803;3910 Kit A2 F. Supreme XT (6 jeringas);OCSD;0
XH002407811;3910 Kit A3 Filtek Supreme XT (6 jeringas);OCSD;0
XH002407837;3910 Kit completo F. Supreme XT(18 jeringas);OCSD;0
XH002407928;ExpressXT 1pesado+1liviano+pistola;OCSD;0
XH002407936;ExpressXT 2pesados+2livianos+pistola gratis;OCSD;0
70201052126;1370 Filtek Z250 D3 jeringa reposición;OCSD;0
XH002407944;PROMO 1EXPR PESADO+1EXPR LIVIANO+PISTOLA;OCSD;0
XH002407951;PROMO 2EXPR PESADO+2EXPR LIVIANO+PISTOLA GRATIS;OCSD;0
70201053959;4762 TK FILTEK P90 Kit inicio;OCSD;0
70201054007;4762 A2 FILTEK P90 A2 JERINGA;OCSD;0
70201052100;1370 Filtek Z250 C3 jeringa;OCSD;0
70201038463;3910B1E FILTEK SUPREME XT jeringa;OCSD;0
70201038216;3910 A1D F Supreme jeringa;OCSD;0
70201134122;31734 impregum penta soft kit introductorio;OCSD;0
78806096505;Cable Coiled;OCSD;0
70201120139;77805 EXPRESS PENTA Material Pesado;OCSD;0
XH002402663;ExpressXT 1 material liviano + 1 material pesado;OCSD;0
70201038471;3910 B2E F Supreme XT jeringa;OCSD;0
70201135913;56660 RelyX Temp;OCSD;49
70201050419;3910CT F.Supreme XT;OCSD;0
41530070501;Z100 A3 jeringa;OCSD;0
41530070519;Z100 jeringa A3.5;OCSD;0
41530057508;Filtek Z250 color B2;OCSD;0
XH002415020;Kit F.Z350,3 jer A2,A3 y A3.5+S.Bond+huinchas;OCSD;0
XH002415012;Kit F. Z250,3 jer A2,A3 y A3.5+S.Bond+huinchas;OCSD;0
XH002415053;Kit Soflex 120 discos + 1 portadiscos;OCSD;0
XH002415046;KIT FILTEK P60 2 jer A3 y B2 S.Bond+huinchas;OCSD;0
78813116577;ELIPAR 2500 LIGHT 8MM GUIDE;OCSD;0
XH002415095;Edición Especial Nuevo Kit Filtek Z350-Incluye Jeringa adicional de 4grs. Tono A1;OCSD;0
41530070493;Jeringa Z100 Bulk 4 grs. Tono A2;OCSD;0
XH002415137;Nuevo Kit Filtek Z350+jer.B2;OCSD;0
XH002415145;Ptas accudose 12 unds;OCSD;0
XH002415186;Pack Soflex4x3:G,M,F y SF;OCSD;0
70201037689;7613 Kit introductorio RelyX Veneer;OCSD;0
XV000904476;Estuche termoformado;OCSD;0
41530057441;Z250 Bulk Jeringa A2;OCSD;0
41530057458;Z250 Bulk Jer A3;OCSD;0
41530057466;Z250 Bulk Jer A3.5;OCSD;0
44001992906;Prospecto Filtek Z250;OCSD;0
XV000904567;Caratula Z250 Kit Tradicional;OCSD;0
78990240075;Handpiece SMD PCB FL Lumi int;OCSD;0
XH002415533;NUEVO KIT Z350 + JERINGA A1;OCSD;0
XH002415467;KIT Z250 TRADICIONAL+JERINGA A1;OCSD;0
LN317000004;CLICKER DISPLAY 3M ESPE ACRILICO;OCSD;0
70201134874;76951 ELIPAR S10 INT (230 V);OCSD;0
XH002415608;KIT ESPECIAL Z350 5 JERINGAS + ADHESIVO;OCSD;0
XH002415749;FILTEK Z350 PACK 3 JERINGAS A1,A2 Y A3;OCSD;0
70201057711;7571 VITREBOND PLUS LIGHT CURE GI SINGLE PACK;OCSD;254
70201056531;12248 Clinpro XT Varnish;OCSD;102
70201057893;7018S FILTEK Z350 XT Kit;OCSD;0
70201076174;7018 D FILTEK Z350 XT Kit duo tono;OCSD;0
70201076067;7018 A3E Filtek Z350 XT;OCSD;62
70201059964;7018 B3B Filtek Z350 XT;OCSD;11
70201059907;7018 A3B Filtek Z350 XT;OCSD;534
70201059832;7018 A3D Filtek Z350 XT;OCSD;92
70201057885;7018A1D Z350 XT SYR APAC;OCSD;20
70201059824;7018 A2D Filtek Z350 XT;OCSD;92
70201059840;7018 A4D Filtek Z350 XT;OCSD;11
70201059857;7018 B3D Filtek Z350 XT;OCSD;0
70201059865;7018 C4D Filtek Z350 XT;OCSD;0
70201059873;7018 WD Filtek Z350 XT;OCSD;0
70201059881;7018 A1B Filtek Z350 XT;OCSD;156
70201059899;7018 A2B Filtek Z350 XT;OCSD;447
70201059915;7018 A3,5B Filtek Z350 XT;OCSD;380
70201059923;7018 A4B Filtek Z350 XT;OCSD;36
70201059931;7018 A6B Z350 XT;OCSD;0
70201059949;7018 B1B Filtek Z350 XT;OCSD;16
70201059956;7018 B2B Filtek Z350 XT;OCSD;105
70201059972;7018 B5B Filtek Z350 XT;OCSD;0
70201059980;7018 C1B Filtek Z350 XT;OCSD;0
70201059998;7018 C2B Filtek Z350 XT;OCSD;12
70201076000;7018 D2B Filtek Z350 XT;OCSD;0
70201076018;7018 D3B  Filtek Z350 XT;OCSD;0
70201076026;7018 WB Z350 XT;OCSD;0
70201076034;7018 XWB  Filtek Z350 XT;OCSD;0
70201076042;7018 A1E Filtek Z350 XT;OCSD;14
70201076059;7018 A2E Filtek Z350 XT;OCSD;56
70201076075;7018 B1E Filtek Z350 XT;OCSD;0
70201076083;7018 B2E Filtek Z350 XT;OCSD;9
70201076091;7018 D2E Filtek Z350 XT;OCSD;0
70201076109;7018 WE Filtek Z350 XT;OCSD;0
70201076117;7018 XWE Filtek Z350XT;OCSD;0
70201076125;7018 CT Filtek Z350 XT;OCSD;0
70201076133;7018 BT Filtek Z350XT;OCSD;0
70201076141;7018 GT Filtek Z350 XT;OCSD;0
70201076158;7018 AT Filtek 350 XT;OCSD;0
70201076265;7018 C3B Filtek Z350 XT;OCSD;0
XH002416101;7018 Kit Filtek Z350XT 36 jeringas;OCSD;0
XH002416085;7018 Kit F. Z350 XT 5 jer /adh;OCSD;0
XH002416069;Filtek Z350 XT - Kit Colores Blancos (4 jeringas);OCSD;0
XH002416077;7018 Kit Z350 XT 12 jer(estratificacion);OCSD;0
XH002416135;KIT NANOTECNOLOGIA FILTEK-6 jeringas:A1, A2, A3, A3D, A3E y CT;OCSD;0
41530094188;FILTEK Z350XT A1B;OCSD;0
41530094196;FILTEK Z350XT A2B;OCSD;0
41530094204;FILTEK Z350XT A3B;OCSD;0
41530094212;FILTEK Z350XT A3.5B;OCSD;0
41530094238;FILTEK Z350XT B2B;OCSD;0
XH002416275;Kit Z100 4 jer.+ Jer.Z100 A1;OCSD;0
70201122549;77581 GARANT DISPENSER PROTEMP4;OCSD;0
70201132613;Protemp4 Kit introd s/pistola A2;OCSD;3
70201132621;Protemp 4 Kit introd. s/pistola;OCSD;0
XH002416432;Kit introd Protemp 4 A2 c/ pistola;OCSD;0
XH002416440;Kit introd Protemp 4 A3 c/pistola;OCSD;0
70201119222;Pack 50 puntas de mezcla Protemp4;OCSD;0
XH002416457;Pack 20 puntas de mezcla Protemp4;OCSD;0
70201138610;31792 Impregum Penta Soft refill pack;OCSD;0
70201136812;31792 IMPREGUM PENTA SOFT SINGLE PACK EM;OCSD;0
70201135269;LAVA CNC 500 MILLING MACHINE RDV;OCSD;0
70201135111;LAVA FURNACE 200;OCSD;0
70201139170;LAVA SCAN ST SCANNER FOR LAVA DESIGN 7;OCSD;0
70201134346;LAVA ZIRCONIA FRAME 20MM(12/BX);OCSD;0
70201135087;LAVA ZIRCONIA FRAME 20 XL 6/BX;OCSD;0
70201134353;LAVA ZIRCONIA FRAME 40MM 12/BX;OCSD;0
70201134361;LAVA ZIRCONIA FRAME 60MM 12/BX;OCSD;0
70201131797;LAVA FRAME MULTI 6/BX;OCSD;0
70201131805;LAVA ZIRCONIA FRAME MULTI XL 6/BX;OCSD;0
70201135848;LAVA WAX BLOCK 60 MM 12/BX;OCSD;0
70201114611;LAVA FRAME SHADING LIQUID - FS1 (300 ML);OCSD;0
70201114629;LAVA FRAME SHADING LIQUID - FS2 (300 ML);OCSD;0
70201114637;LAVA FRAME SHADING LIQUID - FS3 (300 ML);OCSD;0
70201114645;LAVA FRAME SHADING LIQUID - FS4 (300 ML);OCSD;0
70201114652;LAVA FRAME SHADING LIQUID - FS5 (300 ML);OCSD;0
70201114660;LAVA FRAME SHADING LIQUID - FS6 (300 ML);OCSD;0
70201114678;LAVA FRAME SHADING LIQUID - FS7 (300 ML);OCSD;0
70201053231;LAVA TOOL TYPE 4 (5 PER PKG);OCSD;0
70201053249;LAVA TOOL TYPE 5 (5 PER PKG);OCSD;0
70201053256;LAVA TOOL TYPE 6 (5 PER PKG);OCSD;0
70201053264; LAVA TOOL TYPE 7 (1 PER PKG);OCSD;0
70201057646;LAVA TOOL TYPE 8 (1 PER PKG);OCSD;0
XH002416580;Promo S. Bond 6 g + Z250 A2;OCSD;0
XH002416622;CONV.FILTEK Z250-JERINGA 4 GRS. TONO A2;OCSD;0
XH002416630;CONV.FILTEK Z250-JERINGA 4 GRS. TONO A3;OCSD;0
XH002416655;CONV.VITREBOND KIT;OCSD;0
70201138933;76961 Nueva LED Elipar Curing Light;OCSD;0
XH002417018;6018 Filtek Z350 + organizador acrílico;OCSD;0
XH002416713;Conv Clinpro XT Varnish clicker;OCSD;0
XH002417067;RelyX U200 translucido con accudose;OCSD;5
XH002417075;RelyX U200 A2 con accudose;OCSD;16
XH002417083;RelyX U200 A3 opaco con accudose;OCSD;16
70201138875;56897 RelyX U200 automix translucido;OCSD;5
70201138859;56895 RelyX U200 automix A2;OCSD;4
70201138867;56896 RelyX U200 automix A3;OCSD;20
XV000289910;BOLSO TERMICO 3M ESPE;OCSD;0
70201139360;Puntas de Mezcla RelyX U200 Regular x 30;OCSD;0
70201139378;Puntas Endo RelyX U200 (ancha) x 15;OCSD;0
XH002417257;Conv. Filtek Z350 XT A1B;OCSD;0
XH002417265;CONV. Filtek Z350 XT A2B;OCSD;0
XH002417240;CONV. Filtek Z350 XT A3B;OCSD;0
XH002417273;CONV Filtek Z350 XT Kit 12 jer. estratificado;OCSD;0
70202302694;Mini implante  cabeza de bola con cuello MDI 2,1*10 mm.;OCSD;0
70202302702;Mini implante  cabeza de bola con cuello MDI 2,1*13 mm.;OCSD;0
70202302710;Mini implante  cabeza de bola con cuello MDI 2,1*15 mm.;OCSD;0
70202302942;Mini implante  cabeza de bola con cuello MDI 2,1*10 mm.;OCSD;0
70202302959;Mini implante  cabeza de bola con cuello MDI 2,4*13 mm.;OCSD;0
70202303098;Mini implante  cabeza de bola con cuello MDI 2,4*10 mm.;OCSD;0
70202303106;Mini implante  cabeza de bola con cuello MDI 1,8*13 mm.;OCSD;0
70202303114;Mini implante  cabeza de bola con cuello MDI 1,8*15 mm.;OCSD;0
70202301217;8720 HARD SECURE KIT;OCSD;0
70202301530;Micro O-Ring 0351-01;OCSD;0
70202301605;Pack de 10 O-Ring 0550-10;OCSD;0
70202302777;Analogo cabeza de bola con cuello (LAOB);OCSD;0
70202302785;Analogo cabeza cuadrada con cuello (LASH);OCSD;0
70202302793;Broche metálico MH-1;OCSD;0
70202302801;Micro Broche Metálico MH-2;OCSD;0
70202303239;Cilindros de bloqueo de 9mm;OCSD;0
70202303536;Cilindro para encerar S4118;OCSD;0
70202303247;Cilindro para encerar S4118;OCSD;0
78990252187;ELIPAR BATTERY;OCSD;0
70201140764;56921 RelyX Ultimate A1 clicker;OCSD;9
70201140772;56922 RELYX ULTIMATE A3O CLICKER;OCSD;16
70201088385;12247 CLINPRO WHITE VARNISH 50 UNIDOSIS;OCSD;0
70201088260;12246 CLINPRO WHITE VARNISH 100 DOSIS CON 100 PINCELES;OCSD;258
XH002418115;KIT RESTAURACION+BLANQUEAMIENTO EXPODENT 2014;OCSD;0
XH002418123;KIT Z350XT 5 JER+SBOND UNIVERSAL+SOFLEX SPIRAL;OCSD;0
70201140756;56920 RELYX ULTIMATE CLICKER Traslúcido;OCSD;11
XH002418313;Barniz de Fluor Clinpro;OCSD;0
70201143149;56633 Ketac Molar Easymix;OCSD;375
XH002418347;Kit 2015 Restauración Directa + Prevención.;OCSD;0
XH002418305;Kit Z350 XT x 12 jer + SB Universal 3 ml.;OCSD;0
XH002418339;Clinpro White Varnish x 24 unids.;OCSD;6
XH002418230;12174 WHITE&BRITE Kit 4 Jeringas de 3,5 grs. c/u  más accesorios.;OCSD;0
XH002418248;White&Brite;OCSD;0
70201143800;Pack 50 puntas de mezcla Protemp4;OCSD;0
70202310432;Cilindro para encerar S4118;OCSD;0
70201079988;2914BL-LT - 3M ESPE Lava Ultimate CAD/CAM         Restorative for CEREC 14L;OCSD;0
70201079996;2914A1-HT - 3M ESPE Lava Ultimate CAD/CAM         Restorative for CEREC 14L;OCSD;0
70201085001;2914A1-LT - 3M ESPE Lava Ultimate CAD/CAM         Restorative for CEREC 14L;OCSD;0
70201085019;2914A2-HT - 3M ESPE Lava Ultimate CAD/CAM         Restorative for CEREC 14L;OCSD;0
70201085027;2914A2-LT - 3M ESPE Lava Ultimate CAD/CAM         Restorative for CEREC 14L;OCSD;0
70201085035;2914A3-HT - 3M ESPE Lava Ultimate CAD/CAM         Restorative for CEREC 14L;OCSD;0
70201085043;2914A3-LT - 3M ESPE Lava Ultimate CAD/CAM         Restorative for CEREC 14L;OCSD;0
70201085050;2914A3.5-LT - 3M ESPE Lava Ultimate CAD/CAM       Restorative for CEREC 14L;OCSD;0
70201085084;2914C2-LT - 3M ESPE Lava Ultimate CAD/CAM         Restorative for CEREC 14L;OCSD;0
XV001005158;Pistola Dispensadora Genérica 1:10;OCSD;0
XV001005141;Pistola Dispensadora Genérica para puntas;OCSD;0
70201143834;76973 Elipar Deep Cure-L LED CuringLite;OCSD;0
70201143867;76976 Elipar Deep Cure-S LED CuringLite;OCSD;0
XH002418552;Kit 2016 Restauración Directa All-Inclusive;OCSD;0
70201143859;76975 ELIPAR DEEPCURE-S 230V INT;OCSD;0
70201144162;Rep Fibra optica lampara Deepcure 10 mm;OCSD;0
70201144345;Protector Ocular lámpara Elipar DeepCure-L;OCSD;0
70201138958;Fibra optica lampara Elipar Lichtleiter 10 mm;OCSD;0
70201031831;RelyX Veneer tono A1;OCSD;1
70201031849;RelyX Veneer tono A3;OCSD;0
70201031864;RelyX Veneer tono A3 Traslucido;OCSD;0
70201031898;RelyX Veneer Pasta Prueba tono A1;OCSD;0
70201031906;RelyX Veneer Pasta Prueba tono A3;OCSD;0
70201031922;RelyX Veneer Pasta Prueba tono A3 Traslucido;OCSD;0
70201031872;7614 RelyX Veneer tono B0.5;OCSD;0
70201031930;RelyX Veneer Pasta de Prueba tono B0.5;OCSD;0
70201401158;Clinpro white varnish 100 Unidosis Guinda;OCSD;44
70201401174;Clinpro white varnish 100 Unidosis Melon;OCSD;20
70201404731;FILTEK ONE BULK FILL A2;OCSD;0
70201404749;FILTEK ONE BULK FILL A3;OCSD;0
70201413013;FILTEK BULK FILL FLOW A2;OCSD;0
70201413021;FILTEK BULK FILL FLOW A3;OCSD;0
70201404970;FILTEK ONE BULK FILL A2;OCSD;17
70201404988;FILTEK ONE BULK FILL A3;OCSD;25
70201130823;Express XT Putty Soft;OCSD;16
70201404723;FILTEK ONE BULK FILL A1;OCSD;0
70201140343;ENDO TIPS U200 AUTOMIX 15 PUNTAS;OCSD;0
70201404962;Filtek One Bulk Fill A1;OCSD;2
70201404673;Filtek One Bulk Fill A1 Capsula;OCSD;0
70201404681;Filtek One Bulk Fill A2 Capsula;OCSD;0
70201404699;Filtek One Bulk Fill A3 Capsula;OCSD;0
70201407106;FILTEK UNIVERSAL A2 JERINGA;OCSD;13
70201407114;FILTEK UNIVERSAL A3 JERINGA;OCSD;7
70201407122;FILTEK UNIVERSAL A3.5 JERINGA;OCSD;2
70201407098;FILTEK UNIVERSAL A1 JERINGA;OCSD;0
70201407155;FILTEK UNIVERSAL B2 JERINGA;OCSD;0
70201406983;FILTEK UNIVERSAL PO JERINGA;OCSD;0
70201406975;FILTEK UNIVERSAL XW JERINGA;OCSD;0
70201407395;FILTEK UNIVERSAL A1 CAPSULES;OCSD;0
70201407403;FILTEK UNIVERSAL A2 CAPSULES;OCSD;0
70201407411; FILTEK UNIVERSAL A3 CAPSULES;OCSD;0
70201407429;FILTEK UNIVERSAL A3.5 CAPSULES;OCSD;0
70201407452;FILTEK UNIVERSAL B2 CAPSULES;OCSD;0
70201407478;FILTEK UNIVERSAL XW CAPSULES;OCSD;0
70201407486;FILTEK UNIVERSAL PO CAPSULES;OCSD;0
70201407718;FILTEK RESTORATIVES DISPENSER 5850RD;OCSD;0
70201079152;FILTEK Z250 XT B1;OCSD;2
70201079202;FILTEK Z250 XT OA2;OCSD;0
70201079210;FILTEK Z250 XT OA3;OCSD;0
70201079103;FILTEK Z250 XT A1;OCSD;16
70201079111;FILTEK Z250 XT A2;OCSD;75
