Codigo;Descripcion Comprador
70201404988;FILTEK ONE BULK FILL A3 3M - MARCA:3M- COD:70201404988 UN VTO ENTREGA EN: 7 DIAS
70201135913;527855 RELYX TEMP NO EUGENOL 3M DENTAL COD-SCFHM LOS PRODUCTOS OFERTADOSCUENTAN CON UN VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA FICHA TECNICA. DESPACHO EN 48 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MONTO MINIMO FACTURACION 50.000. MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS
70201057711;VIDRIO IONÓMERO MODIFICADO CON RESINA BASE CAVITARIA VITREBOND PRESENTACIÓN KIT INTRODUCTORIO 9 G DE POLVO 5.5 ML DE LÍQUIDO CUCHARA, BLOCK DE MEZCLA MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMIENTO 24 MESES FLETE INCLUIDO
70201411975;527850 SELL.FOTOCUR.CONCISE FCO 3M DENTAL-VENCIMIENTO JULIO 2025-SE ADJUNTA FICHA TÉCNICA. DESPACHO EN 72 HORAS. EL DESPACHO NO TIENE COSTO ADICIONAL. MONTO MÍNIMO DE FACTURACIÓN 50.000.
70201130849;SILICONA LIVIANA POR ADICIÓN 3M EXPRESS, EN BASE A VINIL POLISILOXANO, MATERIAL DE ALTA DEFINICIÓN DE DETALLES Y GRAN ESTABILIDAD, EXCELENTE RECUPERACIÓN ELÁSTICA, SIN SABOR NI OLOR, TIXOTOPICO. TIEMPO DE POLIMERIZACIÓN 3 APROX. KIT 2 CARTUCHOS
70201059915;COMPOSITE FILTEK Z350 TONO A3,5B BODY PRESENTACIÓN JERINGA DE 4GR CADA UNA COMPOSITE RESINA FOTO POLIMERIZACIÓN DISEÑADA PARA SER UTILIZADA EN RESTAURACIONES ANTERIORES Y POSTERIORES. RELLENO 100% NANOMÉTRICO VENCIMIENTO MINIMA INFORMADA EN ARCHIVO ADJUNTO MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FLETE INCLUIDO
70201413591;EVE MANDRIL PDISCOS SOFLEX FICHA ADJUNTA ENTREGA 6 DIAS HABILES.
70202119551;DISPOSITIVO MEDICO: LIGADURAS ALASTIK DIVERSOS COLORES BOLSA X 1000 UNIDADES MORADO MARCA 3M UNITEK PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FLETE INCLUIDO COD:
70201030916;3M70201030999-DISCO SOF-LEX XT 38´´ 4930 SUPER FINO BOLSA 30 UNDS 3M ESPE
70202091057;BANDAS PRIMEROS MOLARES MBT 38 1/2 UR, MARCA 3M UNITEK.
70201030999;DISCO SOF-LEX 12´´ 4851 FINO BOLSA 30 UNDS
70201030916;3M DISCO SOFLEX S.FINO PAPEL 4850SF 38 BOLSA 30 UNID EX-1981SF MARCA 3M USA FICHA ADJUNTA ENTREGA 4 DIAS HABILES.
70201030882;DISCO SOF-LEX 12´´ 4851 GRUESO BOLSA 30 UNDS 3M CHILE
70202089523;3MU70202097807 TRANSBOND PLUS ADHESIVO PARA BANDAS 5 JERINGAS 712-080
70202067545;ARCOS ACERO INOX RECTANGULAR 0,019 X 0,025 INF - FORMA CUADRADA (10 UNIDADES), MARCA 3M UNITEK, PROCEDENCIA USA, SE ADJUNTA FICHA TÉCNICA, DESÁCHO EN 4 DÍAS
70201051979;527816 FILTEK P60 A3, VCTO 10-2025, 3M DENTAL. DESPACHO EN 2 DIAS HABILES, SIN COSTO ADICIONAL. VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA CARTA DE CANJE. SIN MONTO MINIMO DE DESPACHO
70202067594;ARCO ACERO 019 X 025 SUPERIOR FORMA - III OVOID CAJA DE 10 UNIDADES UNITEK-300-027 MARCA 3M UNITEK USA FICHA ADJUNTA
70201059881;COMPOSITE Z-250 A1 JER 4G
70201402370;3M SOFLEX DIAMOND KIT 5 ROSA, 5 BEIGE ALTO BRILLO ESPIRAL 5092. VENCIMIENTO MAYOR A 12 MESES. PLAZO ENTREGA 5 DIAS
70201026088;3M VITREMER A3 KIT RESTAURATIVO VENCIMIENTO MAYOR 12 MESES
70201026104;527822 KIT VITREMER A3, VCTO 11-2025, 3M DENTAL. DESPACHO 2 DIAS CORRIDOS SIN COSTO ADICIONAL. VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA CARTA DE CANJE. SIN MONTO MINIMO DE DESPACHO.
70202077924;252-1760 ARCO NITINOL TERMO-ACTIVADO (HA) SUPERIOR .018 ORTHOFORM II (PAQUETE DE 10 UNIDADES),MARCA 3M UNITEK, PROCEDENCIA USA DESCRIPCIÓN: LOS ARCOS DE NITINOLTM OFRECEN LA ELASTICIDAD Y MALEABILIDAD DEL ACERO Y EL RANGO DE TRABAJO Y LAS FUERZAS LIGERAS QUE SÓLO EL NÍQUEL TITANIO PUEDE OFRECER. PRODUCTO PARA USO EN TRATAMIENTOS DE ORTODONCIA. CARACTERÍSTICAS Y BENEFICIOS: . ALAMBRE DE FUERZA MEDIA, FÁCILMENTE DEFORMABLE . FRICCIÓN MEDIA. FUERZAS UN 40 % MENORES QUE EL ACERO INOXIDABLE . MÓDULO BAJO . EL MÁS RÍGIDO DE LOS ALAMBRES NITINOL RECOMENDADO PARA LA REALIZACIÓN DE DOBLECES DIRIGIDOS AL CIERRE DE ESPACIOS . TERMINADO MATE PARA UNA MEJOR APARIENCIA ESTÉTICA . RANGO DE TRABAJO LARGO . DISPONIBLES EN FORMA REDONDA Y RECTANGULAR PARA RANURAS DE .018 Y .022 . PREFORMADOS, NO SE DEFORMAN . PRESENTACIÓN EN UNIDAD PARA EVITAR CONTAMINACIÓN
70202092683;BANDA DE SEGUNDO MOLAR 1 SUPERIOR DERECHA 36.3M UNITEK SIN TUBO VALOR UNIDAD FICHA ADJUNTA
70201026088;VIDRIO IONOMERO DE BASE DE FOTOCURADO JER UNIDAD (IONOSEAL-VOCO)
70201030932;3M DISCO SOFLEX MEDIANO PLAST 4931M 12 BOLSA 30 UNID EX-2382M. FICHA ADJUNTA, ENTREGA 4 DIAS HABILES, VCTO 13 MESES.
XH002405526;SELLANTE FOTOCURADO CONCISE FRASCO 3M - MARCA:3M- COD:XH002405526 KT VTO ENTREGA EN:10-15 DIAS HABILES
70201026088;527824 VITREBOND PLUS CLICKER 3M DENTAL. VCTO. 08-2025 - SE ADJUNTA FICHA TECNICA. DESPACHO EN 4 DIAS. EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS.
70201031013;"DISCOS SOFLEX NARANJA GRANDES 4931M DISCOS SOF-LEX 1/2 MEDIANO NUEVA PRESENTACIÓN BOLSA DE 30 UNIDADES MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMIENTO INFORMADA EN ARCHIVO ADJUNTO FLETE INCLUIDO OFERTA POR UNIDAD DE DISCO."""
70201059881;3M FILTEK Z350 XT UNIV.COLOR A1E JERINGA 4 GRS VCTO 18 MESES DESDE RECEPCION FICHA ADJUNTA ENTREGA 5 DIAS
70201056531;BARNIZ DE VIDRIO IONÓMERO CLINPRO XT VARNISH PRESENTACIÓN CLICKER DE 10G RECUBRIMIENTO PROTECTOR DE SITIOS ESPECÍFICOS PARA ESMALTE Y DENTINA, MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMIENTO 2025 FLETE INCLUIDO
70201026088;527822 KIT VITREMER A3 3M DENTAL SE ADJUNTA FICHA TÉCNICA. DESPACHO EN 2 DIAS HABILES. EL DESPACHO NO TIENE COSTO ADICIONAL
70201059824;3M FILTEK Z350 XT UNIV.COLOR A2B JERINGA 4 GRS USA FICHA ADJUNTA VCTO 13 MESES DESDE RECEPCION
70201059907;527776 FILTEK Z350 XT TONO A3B 3M DENTAL. VCTO. 07-2025 - SE ADJUNTA FICHA TÉCNICA.DESPACHO EN 48 HORAS.EL DESPACHO NO TIENE COSTO ADICIONAL.MONTO MÍNIMO DE FACTURACIÓN 0.-MUNNICH CUENTA CON SERVICIO POSTVENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS.
70201031013;3M DISCO SOFLEX MEDIANO PLAST 4931M 12 BOLSA 30 UNID EX-2382M FICHA ADJUNTA ENTREGA 5 DIAS HABILES
70201413591;527839 1983 RA PORT.DISC.SOF-LEX 3M DENTAL LOS PRODUCTOS OFERTADOS CUENTAN CON UN VENCIMIENTO SUPERIOR A 24 MESES.SE ADJUNTA FICHA TECNICA. DESPACHO EN 48 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MONTO MINIMO FACTURACION 50.000.MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS.
70201404939;3M FILTEK ONE BULK FILL A3 JERINGA 4 GRS MARCA 3M USA VCTO 13 MESES ENTREGA 5 DIAS
XH002405039;527851 SELL.FOTOC.INTIT.CON.SAC 3M DENTAL-VENCIMIENTO FEBRERO 2025- SE ADJUNTA FICHA TECNICA. DESPACHO EN 2 DIAS HABILES EL DESPACHO NO TIENE COSTO ADICIONAL. MONTO MINIMO FACTURACION 50.000.
70202025857;3MU70202025857-TUBO SIMPLE LR7 2DO MOLAR MBT NO CONVERTIBLE CEMEN DIRECT 067-9154 MARCA 3M UNITEK
70201030908;"DISCOS SOF-LEX DISPONIBLE EN DISTINTAS MEDIDAS 1/2 3/8 MONTADO EN CARTON / PLASTICO NUEVA PRESENTACION BOLSA DE 30 UNIDADES MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TECNICA FECHA DE VENCIMIENTO INFORMADA EN ARCHVIO ADJUNTO FLETE INCLUIDO"""
70201408039;527806 FILTEK BULK FILL FLOW A2 3M DENTAL. VCTO. 12-2025 - SE ADJUNTA FICHA TECNICA. DESPACHO EN 24 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MONTO MINIMO FACTURACION 0.- MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS.
70201059907;3M FILTEK Z350 XT UNIV.COLOR A3B JERINGA 4GRS VENCIMIENTO 12-2024
70202092170;BANDA DE SEGUNDO MOLAR (2) INFERIOR DERECHA 37. OBLIGATORIO ADJUNTAR FORMULARIO N°1, N°2 Y N°3.
70201059907;COMPOSITE FILTEK Z350XT FLOW A3 2 JERINGAS DE 2GRS. 3M
70201088260;BARNIZ FLUOR DURASHIELD 5% 0,4ML X1
70201140426;3M7020113930-ADHESIVO SINGLE BOND UNIVERSAL 3ML
70202091867;BANDAS PRIMEROS MOLARES SUP CON TUBO Y CAJA MORELLI 38.5
70201030916;"SOF-LEX DISCOS DE CONTORNEADO Y PULIDO , 3/8 , GRANO GRUESO -4850SF DISCOS SOF-LEX 3/8 SUPER FINO NUEVA PRESENTACIÓN BOLSA DE 30 UNIDADES MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMIENTO 24 MESES FLETE INCLUIDO"""
70201140772;3M RELYX ULTIMATE A1EX RELYX ARC. VENCIMIENTO MAYOR 12 MESES
70201059899;JERINGA COMPOSITE FLUIDA RESINA COMPUESTA FLOW Z350, MARCA 3M, COLOR A2, O VENCIMIENTO MINIMO 2025
9020689866;TUBOS DOBLE CONV. MBT SUP.DER. CEMENTADO DIRECTO UNITEK-068-9522
70201030924;4851C SOF-LEX 12 IN COAR30BAG 3M - MARCA:3M-NUEVA PRESENTACION DE 30 UNIDADES COD:70201030924 UN VTO ENTREGA EN:10-15 DIAS HABILES
70201413591;1983RA SOF-LEX MANDRELS UNI. 3M - MARCA:3M- COD:70201413591UN UN VTO ENTREGA EN:10-15 DIAS HABLES
70202091008;BANDA ORTODONCIA SIN TUBO N°36 MD Y MX. VALOR X 2 UDS MARCA 3M UNITEK USA ENTREGA 2 DIAS HABILES.
70000876105;3MU70000821341 TUBO SIMPLE LR6 1ER MOLAR MBT CONVERTIBLE CEMEN DIRECT 067-6214 MARCA 3M UNITEK
70201059907;JERINGA FILTEK Z350 XT TONO A3B 3M - MARCA:3M- COD:70201059907 UN VTO ENTREGA EN:10-15 DIAS HABILES
70200452947;HUINCHA LIJA TIPO SOFLEX EMPAQUE DE 75 UNIDADES 4 GRANOS DIFERENTES
70200452947;HUINCHAS PULIDO SOFTLEX DISPONIBLE EN LAS SGTES PRESENTACIONES Y ABRASIVIDAD 1956 TIRAS DE PULIDO SOF-LEX, FINO/SUPERFINO, 120 UNDS / 1954 TIRAS DE TERMINADO SOF-LEX, GRUESO/MEDIANO, 150 UNDS MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMIENTO 24 MESES FLETE INCLUIDO ENTREGA INFORMADA EN ARCHIVO ADJUNTO
70000879067;BT SNG N-CV MBLLT 2MOLAR-10T0OF 4.3MM HK 022 067-9163 - MARCA:- COD:70202025873 VTO ENTREGA EN:5 A 6 DIAS 65 DIS
70202119577;LIGADURA ELAST.EXTREM GREEN UNITEK X 1000 UDS. UNITEK-406-983 FICHA ADJUNTA MARCA 3M UNITEK USA
70201408039;COMPOSITE FLOW - FILTEK SUPREME Z350 XT - SET DE 2 JERINGAS - TONO A2 - MARCA 3M. FECHA DE VENCIMIENTO 13-05-2024
70201143149;3M KETAC MOLAR 12,5 GRS.POLVO A3+8,5 ML. MARCA 3M USA FICHA ADJUNTA ENTREGA 3 DIAS HABILES.
70201059832;527807 FILTEK BULK FILL FLOW A3 3M DENTAL
70201139303;3M ADHESIVO SINGLE BOND UNIVERSAL FRASCO 3ML. FICHA TECNICA VCTO SUP A 13 MESES
70201143149;3M KETAC MOLAR 12,5 GRS.POLVO A3+8,5 ML. FICHA ADJUNTA VCTO 13 MESES ENTREGA 3 DIAS HABILES.
70201030981;DISCOS SOF LEX 4931F, GRANO FINO, BASE DE PLÁSTICO BOLSA DE 30 UNIDADES MARCA 3M
70201144139;527832 ACID.ORTOF.JER.3ML SCOTCH 3M DENTAL, COD-SCFHM -VENCIMIENTO JULIO 2025-SE ADJUNTA FICHA TÉCNICA.DESPACHO EN 1 DIA CORRIDO.EL DESPACHO NO TIENE COSTO ADICIONAL
70202067545;3MU70202067602-ARCO ACERO PERMACR RES ORT FORM III 019X025 INF MARCA 3M
70201059907;JERINGAS COMPOSITE COLOR A3B 100% COMPATIBILIDAD DEMOSTRADA CON ADHESIVOS 3M, VCTO MAYOR A 12 MESES, SE ADJUNTA FUICHA TÉCNICA
70201408401;FILTEK ONE BULK FILL A2 3M - MARCA:3M- COD:70201404970 UN VTO ENTREGA EN:10-15 DIAS HABILES
70201013342;LIQUIDO VITREMER RESTAURACIÓN PRESENTACIÓN FCO 8 ML IONÓMERO DE VIDRIO DE RESTAURACIÓN Y RECONSTRUCCIÓN DE MUÑONES QUE OFRECE TRES FORMAS DE POLIMERIZACIÓN. VITREMER ES UN RESTAURADOR DE IONÓMERO DE VIDRIO MODIFICADO CON RESINA. EN PRESENTACIÓN POLVO/LIQUIDO MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA
70201030965;4930C DISCOS SOF-LEX XT 38 GRUESO 3M - MARCA:3M- COD:70201030965 UN VTO ENTREGA EN:10-15 DIAS HABILES
70201143149;527822 KIT VITREMER A3 3M DENTAL -VENCIMIENTO JULIO 2025.SE ADJUNTA FICHA TECNICA. DESPACHO EN 1 DIA CORRIDO EL DESPACHO NO TIENE COSTO ADICIONAL.
70202077346;ARCO NITI TERMO ORTHOFORM III 014 SUP 9296-611
70202119445;LIGADURA ELAST.SURTIDAS BOLSA X 1000 UDS. UNITEK-406-888
70000879117;TUBOS MBT 2 MOLAR INFERIOR DERECHO LR, 0.22 ACERO INOXIDABLE DISEÑO ANATOMICO CURVO, CON MUESCA Y HENDIDURA DE POSICIONAMIENTO, GANCHO BAJO PERFIL.UNIDAD. MBT 0.22.ACERO INOXIDABLE.DISEÑO ANATOMICO CURVO. MARCA 3M UNITEK USA FLETE INCLUIDO
70201059899;3M FILTEK Z350 XT UNIV.COLOR A2B JERINGA 4 GRS USA FICHA ADJUNTA
70201408401;527810 FILTEK ONE BULK FILL A2 3M DENTAL LOS PRODUCTOS OFERTADOS CUENTAN CON UN VENCIMIENTO SUPERIOR A 24 MESES.SE ADJUNTA FICHA TÉCNICA.DESPACHO EN 24 HORAS.EL DESPACHO NO TIENE COSTO ADICIONAL.MONTO MÍNIMO DE FACTURACIÓN 50.000. MUNNICH CUENTA CON SERVICIO POSTVENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS
70202091644;BANDAS PRIMEROS MOLARES MBT 41 LL 3M UNITEK USA FICHA ADJUNTA
70202092394;BANDA 2°. MOLAR 35 LL CON TUBO, ROTH, MARCA 3M
70201143149;3M KETAC MOLAR 12,5 GRS.POLVO A3+8,5 ML. MARCA 3M USA FICHA ADJUNTA
70201088260;BARNIZ DE FLUOR 5% CLINPRO, 3M ESPE. 100 UNIDADES VENCMIENTO 18 MESES
70201079111;ULTRADENT COMPOSITE FORMA A2B JERINGA 4 GRS. VENCIMIENTO MAYOR 12 MESES. PLAZO DE ENTREGA 5 DIAS
70201144139;527832 ACID.ORTOF.JER.3ML SCOTCH 3M DENTAL LOS PRODUCTOS OFERTADOS CUENTAN CON UN VENCIMIENTO SUPERIOR A 24 MESES.SE ADJUNTA FICHA TECNICA. DESPACHO EN 72 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MONTO MINIMO FACTURACION 50.000.MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS
70201059881;COMPOSITE FILTEK Z350XT BODY A1B 4GRS MARCA 3M VCTO. 18 MESES SE ADJUNTA FICHA DEL PRODUCTO
70202069970;PERM SS POST ARCH OF III OVOID L 019X025 24MM 300-963 - MARCA:- COD:70202069970 VTO ENTREGA EN:3 A 4 DIAS CON STOCK SIN 65 DIAS
70201031005;DISCO SOF-LEX 12´´ 4931 C BOLSA 30 UNDS
70201088260;CLINPRO WHITE VARNISH X 24 UNIDS. 3M - MARCA:3M- COD:XH002418339 KT VTO ENTREGA EN:5 A 10 DIAS
70201030882;3M DISCO SOFLEX GRUESO PAPEL 4850C 38 BOLSA 30 UNID.EX-1981C FICHA ADJUNTA ENTREGA 2 DIAS HABILES.
70201135913;TEMP IT RESTAURADOR TEMPORAL JERINGA 1 UNID. 3 GRS. FOTOCURADO, MONOCOMPONENTE, MATERIAL DE RELLENO PROVISIONAL PARA RESTAURACIONES TEMPORALES.
70201143149;527823 VITREM.LIQ.RESTREPOSIC 3M DENTAL. VCTO. 10-2025 - LOS PRODUCTOS OFERTADOS CUENTAN CON UN VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA FICHA TECNICA. DESPACHO EN 1 DIA EL DESPACHO NO TIENE COSTO ADICIONAL. MONTO MINIMO FACTURACION 0.- MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS.
70201030924;3M DISCO SOFLEX GRUESO PAPEL 4851C 12 BOLSA 30 UNID EX-1982C FICHA TECNICA VCTO SUP A 13 MESES
70201059907;3M FILTEK SUPREME FLOW RESTORATIVE A3 JERINGA 2 GRS VCTO 12 MESES FICHA ADJUNTA USA ENTREGA 5 DIAS
70201139303;3M ADHESIVO SINGLE BOND UNIVERSAL FRASCO 3ML. MARCA 3M USA FICHA ADJUNTA VCTO SUP A 13 MESES DESDE RECEPCION
70202067487;ARCO ACERO F.III 016X016 INF. OVOIDE UNITEK-300-016
70201026088;KIT VITREMER A3
70201059899;COMPOSITE Z-350 XT A2B JER 4G 3M
9020679198;TUBO DOBLE CONV. MBT 1M INF.IZQ. CEMENTADO DIRECTO UNTEK 067-9613
9020679206;BANDA PRIMER MOLAR INF. DER.. PRESCRIPCION MBT (REBORDE OCLUSAL ENDURECIDO, MICROARENADA - ACERO INOXIDABLE CON TUBO DOBLE N°40+, DESPACHO EN 4 DIAS
70201079111;527803 FILTEK Z250 A2 3M DENTAL-VENCIMIENTO JULIO 2025-SE ADJUNTA FICHA TÉCNICA. DESPACHO EN 72 HORAS. EL DESPACHO NO TIENE COSTO ADICIONAL. MONTO MÍNIMO DE FACTURACIÓN 50.000.
70201031005;"DISCOS SOFLEX GRANO GRUESO PLASTICO TAMAÑO GRANDE COLOR ROJO 4931C DISCOS SOF-LEX XT 1/2 GRUESO, NUEVA PRESENTACIÓN BOLSA DE 30 UNIDADES MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMIENTO INFORMADA EN ARCHIVO ADJUNTO FLETE INCLUIDO"""
70201059956;527780 FILTEK Z350 XT TONO B2B 3M DENTAL LOS PRODUCTOS OFERTADOS CUENTAN CON UN VENCIMIENTO SUPERIOR A 24 MESES.SE ADJUNTA FICHA TÉCNICA.DESPACHO EN 24 HORAS.EL DESPACHO NO TIENE COSTO ADICIONAL.MONTO MÍNIMO DE FACTURACIÓN 50.000. MUNNICH CUENTA CON SERVICIO POSTVENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS
70201059824;3M FILTEK SUPREME FLOW RESTORATIVE A2 PACK 2 JERINGAS 2 GRS MARCA 3M VCTO 12 MESES USA FICHA ADJUNTA ENTREGA 5 DIAS HABILES.
70201079111;527803 FILTEK Z250 A2, VCTO 06-2025, 3M DENTAL. DESPACHO EN 3 DIAS HABILES, SIN COSTO ADICIONAL. MONTO MINIMO FACTURACION 50.000. VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA CARTA DE CANJE
70201051961;3M ADHESIVO SINGLE BOND 2 FRASCO 6ML MARCA 3M USA FICHA ADJUNTA VCTO SUP A 13 MESES ENTREGA 5 DIAS HABILES.
70201059907;3M FILTEK Z350 XT UNIV.COLOR A2B JERINGA 4 GRS VCTO SUP A 15 MESES FICHA Y CERT ADJUNTA ENTREGA 5 DIAS HABILES.
XH002417356;3M ADHESIVO SINGLE BOND UNIVERSAL FRASCO 3ML. USA FICHA ADJUNTA VCTO SUP A 13 MESES DESDE RECEPCION ENTREGA 3 DIAS HABILES.
70201059915;SIMILE A3.5 SYRINGE - MARCA:- COD:N56AD. VTO ENTREGA EN:5 A 6 DIAS
70201402388;FRESARIO CPUNTAS SILICONA PCOMPOSITE X 8 UNID. JOTA SUIZA JOTA-1899 FICHA ADJUNTA SUIZA
70202067545;3MU70202067602 ARCO ACERO PERMACR RES ORT FORM III 019X025 INF 300-028
70202119411;ALASTIK EASY-TOTIE LIGAT TIESASSORTED COLOR 105PK 406-888 - MARCA:- COD:70202119676 VTO ENTREGA EN:
70201026088;"VIDRIO IONOMERO FOTOCURADO SET: 5 G BOTELLA DE POLVO; 2.5 ML DE LIQUIDO; 2 ML DE PRIMER; 2 ML DE LIQUIDO GLASEADOR PARA TERMINADO; PUNTAS APLICADORAS CON PISTONES, CUCHARA, BLOCK DE MEZCLA. VITREMER A3 FECHA VENCIMIENTO 24 MESES MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TECNICA"
70201059832;GS - 4406 COMPOSITE Z-250 XT A3 JER 3G
70201059915;MD 2866 COMPOSITE Z-350 XT A3,5B JER 4G
70000876097;TUBOS SIMPLE PCEMEN. 1M SUP.DER. MBT CONVERTIBLE
70202067446;PERM RES SS OF III OVOIDL 018 300-010 - MARCA:- COD:70202067446 VTO ENTREGA EN:5 A 6 DIAS 65 DIAS
70202074269;DISPOSITIVO MEDICO: CADENETA ELASTICA CORTA COLORES DISPONIBLES CLEAR- GRIS UNIDAD MARCA 3M UNITEK PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FLETE INCLUIDO COD: CLEAR 3M7020207427- COD GRIS: 3M7020207426
70201059824;COMPOSITE FILTEK Z350XT DENTINA A2D 4GRS 3M
70201059899;RESINA FLUIDA FILTEK Z350 COLOR A2 PRESENTACIÓN KIT DE 2 JERINGAS DE 2 G CADA UNA OFERTA POR UNIDAD DE JERINGA MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMIENTO MINIMA 18 MESES FLETE INCLUIDO
70201059824;RESINA A3B FILTEK Z350 XT JERINGA 4 GRS MARCA 3M VENCIMIENTO 2024
70201408054;3M70201408054-COMPOSITE FILTEK Z350XT FLOW A3 RESINA FLUIDA DE BAJA VISCOSIDAD, FOTOPOLIMERIZABLE, RADIOPACA MARCA 3M VENCIMIENTO SUPERIOR 12 MESES PRESENTACION BOLSA CON 2 JERINGAS VALOR INGRESADO POR UNIDAD DE JERINGA
70201139303;527830 ADHESIVO ADPER SINGLEBOND-2 FRASCO 3GR. 3M DENTAL SE ADJUNTA FICHA TECNICA. SE ADJUNTA CARTA DE CANJE. VENCE 12-2025 DESPACHO EN 3 DIAS. EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA Y POLITICA DE CANJE Y DEVOLUCION.
70201030932;3M DISCO SOFLEX FINO PAPEL 4851F 12 BOLSA 30 UNID EX-1982F FICHA ADJUNTA
70201076059;COMPOSITE FILTEK Z350 TONO A2E ESMALTE PRESENTACIÓN JERINGA DE 4GR CADA UNA COMPOSITE RESINA FOTO POLIMERIZACIÓN DISEÑADA PARA SER UTILIZADA EN RESTAURACIONES ANTERIORES Y POSTERIORES. RELLENO 100% NANOMÉTRICO VENCIMIENTO INFORMADA EN ARCHIVO ADJUNTO MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FLETE INCLUIDO
70201059956;3M7020105995-COMPOSITE FILTEK Z350XT BODY B2B 4GRS MARCA 3M ESPE VENCIMIENTO SUPERIOR 12 MESES
XH002417356;ADHESIVO ADPER SINGLE BOND 2 FRASCO 3GR 3M - MARCA:3M- COD:XH002417356 UN VTO ENTREGA EN:10-15 DIAS HABILES
70201408039;7032A2 FILTEK SUPREME FLOW SYR 2G, 2 SYRKT APACLA 3M - MARCA:3M- COD:70201408039 UN VTO ENTREGA EN:10-15 DIAS HABILES
70201059956;JERINGA FILTEK Z350 XT TONO B2B 3M - MARCA:3M- COD:70201059956 UN VTO ENTREGA EN:10-15 DIAS HABILES
70006642402;TRANSBOND PLUS LIGHT CURE BAND ADHESIVE KIT 712-080 - MARCA:- COD:70202097807 VTO ENTREGA EN:10 A 12 SIAS CON STOCK 65 DIAS
70000876097;BT SNG CV MB URT 1MOLAR-14T10OF4.0MM HK 022 068-9982 - MARCA:- COD:70202119890 VTO ENTREGA EN:5 A 6 DIAS 65 DIAS
70202071679;RESORTES010 X 030 NITANIUM O.C. SPRING SPOOL MARCA ORTHO ORGANIZERS USA.
70201059899;3M FILTEK SUPREME FLOW RESTORATIVE A2 JERINGA 2 GRS VCTO 12 MESES USA FICHA Y CERTIFICACION ADJUNTA
